AGEPH,CODPOSS,duree,lnexpo,nbrtotc,nbrtotan,chargtot,agecar,sexp,fuelc,split,usec,fleetc,sportc,coverp,powerc
64,1000,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
28,1000,0.0465753425,-3.06668401,1,21.470588235,155.97460579,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
58,1000,0.402739726,-0.909464767,0,0,0,>10,Female,Petrol,Thrice,Private,No,No,MTPL,<66
37,1030,0.1698630137,-1.772762969,0,0,0,2-5,Female,Petrol,Once,Professional,No,No,MTPL+++,66-110
29,1030,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
25,1030,0.295890411,-1.217766126,0,0,0,>10,Female,Petrol,Twice,Private,Yes,No,MTPL+,66-110
34,1040,1,0,0,0,0,>10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
39,1040,0.0767123288,-2.567692843,0,0,0,>10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
52,1050,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,66-110
46,1050,0.895890411,-0.109937183,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
32,1050,0.4191780822,-0.869459432,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,66-110
24,1050,0.1726027397,-1.756762627,0,0,0,0-1,Female,Petrol,Once,Private,No,No,MTPL,66-110
72,1050,1,0,1,1,1426.3793415,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
38,1050,1,0,0,0,0,6-10,Female,Petrol,Once,Private,Yes,No,MTPL+,<66
36,1050,1,0,0,0,0,6-10,Female,Petrol,Thrice,Professional,No,No,MTPL+,66-110
28,1060,0.9561643836,-0.044825431,2,2.0916905444,1576.354924,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
48,1070,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,66-110
29,1070,0.7150684932,-0.335376946,0,0,0,>10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
27,1070,0.2876712329,-1.245937003,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
52,1070,0.4520547945,-0.79395188,0,0,0,6-10,Female,Gasoil,Monthly,Private,No,No,MTPL,66-110
52,1070,0.4520547945,-0.79395188,3,6.6363636364,8885.3963446,6-10,Female,Petrol,Monthly,Private,No,Yes,MTPL,>110
44,1080,1,0,0,0,0,0-1,Female,Petrol,Once,Private,Yes,No,MTPL+++,66-110
56,1082,1,0,1,1,619.73381193,0-1,Female,Petrol,Once,Private,No,No,MTPL+,66-110
41,1090,0.2164383562,-1.530449501,1,4.6202531646,574.56761172,6-10,Female,Gasoil,Monthly,Private,No,No,MTPL,66-110
38,1090,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL+,<66
40,1140,0.2082191781,-1.569164013,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,66-110
54,1150,1,0,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,66-110
67,1160,0.8794520548,-0.12845623,1,1.1370716511,1685.6016004,6-10,Female,Petrol,Once,Private,No,No,MTPL,66-110
45,1180,1,0,3,3,633.83895349,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
27,1180,0.3835616438,-0.958254931,1,2.6071428571,65.54304795,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,66-110
47,1180,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
47,1180,1,0,1,1,74.293689375,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
41,1180,0.7287671233,-0.316401045,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,>110
52,1180,0.0657534247,-2.721843523,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
45,1180,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL+,<66
37,1180,1,0,0,0,0,2-5,Female,Petrol,Thrice,Private,No,No,MTPL+,<66
30,1190,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
77,1200,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
43,1300,1,0,0,0,0,2-5,Female,Petrol,Monthly,Professional,No,No,MTPL+++,66-110
76,1300,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
53,1325,1,0,0,0,0,2-5,Female,Petrol,Twice,Professional,No,No,MTPL+,66-110
85,1330,0.1616438356,-1.82235991,0,0,0,6-10,Female,Petrol,Twice,Private,Yes,No,MTPL,<66
57,1330,1,0,0,0,0,2-5,Female,Gasoil,Twice,Private,No,No,MTPL+,66-110
47,1350,0.1753424658,-1.74101427,1,5.703125,64.625841908,0-1,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
44,1360,0.7917808219,-0.233470665,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,66-110
26,1360,1,0,0,0,0,2-5,Female,Gasoil,Twice,Private,No,No,MTPL+++,66-110
34,1380,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
34,1390,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL,66-110
35,1410,0.8438356164,-0.169797571,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,<66
33,1410,0.3315068493,-1.104106808,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
36,1420,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL+++,66-110
41,1420,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
46,1420,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
61,1420,1,0,0,0,0,6-10,Female,Petrol,Once,Private,Yes,No,MTPL+,66-110
29,1430,0.7397260274,-0.301475395,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
35,1440,1,0,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,66-110
37,1440,1,0,1,1,1426.3793415,>10,Female,Petrol,Thrice,Private,No,No,MTPL,66-110
48,1450,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL+,66-110
59,1460,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
18,1470,1,0,1,1,6489.2823235,6-10,Female,Petrol,Once,Private,No,No,MTPL,<66
43,1480,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
30,1480,1,0,0,0,0,2-5,Female,Gasoil,Twice,Private,No,No,MTPL+,66-110
34,1480,0.3150684932,-1.154965225,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL,<66
34,1495,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
44,1495,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,Yes,No,MTPL+,66-110
26,1500,1,0,1,1,999.40753448,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,66-110
42,1600,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL+,<66
33,1630,0.5808219178,-0.543311079,2,3.4433962264,1685.6016004,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,66-110
61,1700,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL+,66-110
41,1730,1,0,1,1,830.64162281,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,66-110
25,1745,1,0,1,1,77.0453075,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
55,1750,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,66-110
26,1755,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
34,1780,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
47,1800,1,0,0,0,0,6-10,Female,Gasoil,Twice,Private,No,No,MTPL+++,66-110
50,1800,1,0,0,0,0,2-5,Female,Gasoil,Once,Professional,No,No,MTPL+,66-110
48,1830,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
68,1850,1,0,1,1,70.798390675,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,66-110
48,1850,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,66-110
38,1860,0.0849315068,-2.465910149,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+,66-110
34,1860,0.5260273973,-0.642401982,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
36,1910,1,0,0,0,0,2-5,Female,Gasoil,Once,Professional,No,No,MTPL+++,66-110
42,1910,1,0,1,1,84.283798423,2-5,Female,Gasoil,Once,Private,No,No,MTPL+,66-110
33,1950,1,0,1,1,61.899013136,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,<66
28,1950,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
34,1970,1,0,1,1,4.2637686261,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,66-110
42,1970,1,0,1,1,70.798390675,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,66-110
33,2000,0.2082191781,-1.569164013,0,0,0,2-5,Female,Petrol,Monthly,Private,No,Yes,MTPL+++,66-110
50,2000,1,0,0,0,0,6-10,Female,Gasoil,Once,Private,No,No,MTPL+,66-110
33,2000,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
27,2000,1,0,1,1,1189.8889189,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
40,2000,0.3178082192,-1.146307162,0,0,0,0-1,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
56,2000,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,<66
66,2000,1,0,1,1,147.59580465,2-5,Female,Petrol,Once,Private,Yes,No,MTPL+,66-110
54,2000,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL,<66
49,2000,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
28,2000,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,Yes,No,MTPL+++,66-110
29,2000,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,66-110
31,2000,0.301369863,-1.199416988,2,6.6363636364,3172.2438578,>10,Female,Petrol,Thrice,Private,No,No,MTPL,66-110
54,2000,0.1178082192,-2.138697238,0,0,0,6-10,Female,Petrol,Twice,Private,Yes,No,MTPL,<66
35,2000,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
36,2240,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,<66
33,2275,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
52,2300,1,0,0,0,0,0-1,Female,Petrol,Twice,Private,No,No,MTPL,66-110
46,2300,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
51,2350,0.6602739726,-0.41510042,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,66-110
56,2350,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,<66
34,2547,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
30,2570,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,<66
